Title,Author,URL,Body
Volume-Based Exchange Transaction Pricing for NMS Stocks,N/A,https://sec.gov/rules/2023/10/feetiers#34-98766,"The Securities and Exchange Commission (“Commission”) is proposing a new rule under the Securities Exchange Act of 1934 (“Exchange Act”) to prohibit national securities exchanges from offering volume-based transaction pricing in connection with the execution of agency-related orders in certain stocks. If exchanges offer such pricing for their members’ proprietary orders, the proposal would require the exchanges to adopt rules and written policies and procedures related to compliance with the prohibition, as well as disclose, on a monthly basis, certain information including the total number of members that qualified for each volume tier during the month."
Short Position and Short Activity Reporting by Institutional Investment Managers,N/A,https://sec.gov/rules/2022/02/notice-text-proposed-amendments-national-market-system-plan-governing-consolidated#34-98738,"The Securities and Exchange Commission (“Commission”) is adopting new Rule 13f-2 and new Form SHO pursuant to the Securities Exchange Act of 1934 (“Exchange Act”) and the Dodd-Frank Wall Street Reform and Consumer Protection Act (“DFA”). The new rule and related form are designed to provide greater transparency through the publication of short sale-related data to investors and other market participants. Under the new rule, institutional investment managers that meet or exceed certain specified reporting thresholds are required to report, on a monthly basis using the related form, specified short position data and short activity data for equity securities. In addition, the Commission is adopting an amendment to the national market system (“NMS”) plan governing the consolidated audit trail (“CAT”) created pursuant to the Exchange Act to require the reporting of reliance on the bona fide market making exception in the Commission’s short sale rules. The Commission is publishing the text of the amendments to the NMS plan governing the CAT (“CAT NMS Plan”) in a separate notice."
Short Position and Short Activity Reporting by Institutional Investment Managers,N/A,https://sec.gov/rules/2022/02/notice-text-proposed-amendments-national-market-system-plan-governing-consolidated#34-98739,"The Securities and Exchange Commission (“Commission”) is adopting new Rule 13f-2 and new Form SHO pursuant to the Securities Exchange Act of 1934 (“Exchange Act”) and the Dodd-Frank Wall Street Reform and Consumer Protection Act (“DFA”). The new rule and related form are designed to provide greater transparency through the publication of short sale-related data to investors and other market participants. Under the new rule, institutional investment managers that meet or exceed certain specified reporting thresholds are required to report, on a monthly basis using the related form, specified short position data and short activity data for equity securities. In addition, the Commission is adopting an amendment to the national market system (“NMS”) plan governing the consolidated audit trail (“CAT”) created pursuant to the Exchange Act to require the reporting of reliance on the bona fide market making exception in the Commission’s short sale rules. The Commission is publishing the text of the amendments to the NMS plan governing the CAT (“CAT NMS Plan”) in a separate notice."
Short Position and Short Activity Reporting by Institutional Investment Managers,N/A,https://sec.gov/rules/2022/02/notice-text-proposed-amendments-national-market-system-plan-governing-consolidated#34-94314,"The Securities and Exchange Commission (“Commission”) is adopting new Rule 13f-2 and new Form SHO pursuant to the Securities Exchange Act of 1934 (“Exchange Act”) and the Dodd-Frank Wall Street Reform and Consumer Protection Act (“DFA”). The new rule and related form are designed to provide greater transparency through the publication of short sale-related data to investors and other market participants. Under the new rule, institutional investment managers that meet or exceed certain specified reporting thresholds are required to report, on a monthly basis using the related form, specified short position data and short activity data for equity securities. In addition, the Commission is adopting an amendment to the national market system (“NMS”) plan governing the consolidated audit trail (“CAT”) created pursuant to the Exchange Act to require the reporting of reliance on the bona fide market making exception in the Commission’s short sale rules. The Commission is publishing the text of the amendments to the NMS plan governing the CAT (“CAT NMS Plan”) in a separate notice."
Short Position and Short Activity Reporting by Institutional Investment Managers,N/A,https://sec.gov/rules/2022/02/notice-text-proposed-amendments-national-market-system-plan-governing-consolidated#34-94313,"The Securities and Exchange Commission (“Commission”) is adopting new Rule 13f-2 and new Form SHO pursuant to the Securities Exchange Act of 1934 (“Exchange Act”) and the Dodd-Frank Wall Street Reform and Consumer Protection Act (“DFA”). The new rule and related form are designed to provide greater transparency through the publication of short sale-related data to investors and other market participants. Under the new rule, institutional investment managers that meet or exceed certain specified reporting thresholds are required to report, on a monthly basis using the related form, specified short position data and short activity data for equity securities. In addition, the Commission is adopting an amendment to the national market system (“NMS”) plan governing the consolidated audit trail (“CAT”) created pursuant to the Exchange Act to require the reporting of reliance on the bona fide market making exception in the Commission’s short sale rules. The Commission is publishing the text of the amendments to the NMS plan governing the CAT (“CAT NMS Plan”) in a separate notice."
Reporting of Securities Loans,N/A,https://sec.gov/rules/2021/11/reporting-securities-loans#34-98737,"The Securities and Exchange Commission (“SEC” or “Commission”) is adopting a new rule under the Securities Exchange Act of 1934 (“Exchange Act”) to increase the transparency and efficiency of the securities lending market by requiring certain persons to report information about securities loans to a registered national securities association (“RNSA”). The new rule also requires certain confidential information to be reported to an RNSA to enhance an RNSA’s oversight and enforcement functions. Further, the new rule requires that an RNSA make certain information it receives, along with daily information pertaining to the aggregate transaction activity and distribution of loan rates for each reportable security, available to the public."
Reporting of Securities Loans,N/A,https://sec.gov/rules/2021/11/reporting-securities-loans#34-94315,"The Securities and Exchange Commission (“SEC” or “Commission”) is adopting a new rule under the Securities Exchange Act of 1934 (“Exchange Act”) to increase the transparency and efficiency of the securities lending market by requiring certain persons to report information about securities loans to a registered national securities association (“RNSA”). The new rule also requires certain confidential information to be reported to an RNSA to enhance an RNSA’s oversight and enforcement functions. Further, the new rule requires that an RNSA make certain information it receives, along with daily information pertaining to the aggregate transaction activity and distribution of loan rates for each reportable security, available to the public."
Reporting of Securities Loans,N/A,https://sec.gov/rules/2021/11/reporting-securities-loans#34-93613,"The Securities and Exchange Commission (“SEC” or “Commission”) is adopting a new rule under the Securities Exchange Act of 1934 (“Exchange Act”) to increase the transparency and efficiency of the securities lending market by requiring certain persons to report information about securities loans to a registered national securities association (“RNSA”). The new rule also requires certain confidential information to be reported to an RNSA to enhance an RNSA’s oversight and enforcement functions. Further, the new rule requires that an RNSA make certain information it receives, along with daily information pertaining to the aggregate transaction activity and distribution of loan rates for each reportable security, available to the public."
Modernization of Beneficial Ownership Reporting,N/A,https://sec.gov/rules/2022/02/modernization-beneficial-ownership-reporting#33-11253,"The Securities and Exchange Commission (“Commission”) is adopting amendments to certain rules that govern beneficial ownership reporting. The amendments generally shorten the filing deadlines for initial and amended beneficial ownership reports filed on Schedules 13D and 13G. The amendments also clarify the disclosure requirements of Schedule 13D with respect to derivative securities. We also are expanding the timeframe within a given business day by which Schedules 13D and 13G must be filed, and separately requiring that Schedule 13D and 13G filings be made using a structured, machine-readable data language. Further, we discuss how, under the current rules, an investor’s use of a cash-settled derivative security may result in the person being treated as a beneficial owner of the class of the reference equity security. We also are providing guidance on the application of the current legal standard found in Section 13(d)(3) and 13(g)(3) of the Securities Exchange Act of 1934 to certain common types of shareholder engagement activities. Finally, we are making certain technical revisions."
Modernization of Beneficial Ownership Reporting,N/A,https://sec.gov/rules/2022/02/modernization-beneficial-ownership-reporting#33-11180,"The Securities and Exchange Commission (“Commission”) is adopting amendments to certain rules that govern beneficial ownership reporting. The amendments generally shorten the filing deadlines for initial and amended beneficial ownership reports filed on Schedules 13D and 13G. The amendments also clarify the disclosure requirements of Schedule 13D with respect to derivative securities. We also are expanding the timeframe within a given business day by which Schedules 13D and 13G must be filed, and separately requiring that Schedule 13D and 13G filings be made using a structured, machine-readable data language. Further, we discuss how, under the current rules, an investor’s use of a cash-settled derivative security may result in the person being treated as a beneficial owner of the class of the reference equity security. We also are providing guidance on the application of the current legal standard found in Section 13(d)(3) and 13(g)(3) of the Securities Exchange Act of 1934 to certain common types of shareholder engagement activities. Finally, we are making certain technical revisions."
