,title,url,summary,topic
0,Why SanimaWaale?,https://medium.com/@vijeta_46176/why-sanimawaale-cdb9cce5e6db?source=tag_recommended_feed---------0-84----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,"Hi everyone,",Not Climate Action
1,The 10 Most ‘Totally Traumatizing’ PG-Rated Movies That Generation X Watched as Kids,https://medium.com/fan-fare/the-10-most-totally-traumatizing-pg-rated-movies-that-generation-x-watched-as-kids-af861d2ab6fa?source=tag_recommended_feed---------1-107----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,"‘Some material may not be suitable for children,’ they warned. Our Boomer parents did not GAF",Not Climate Action
2,My Favourite Underrated Sci-Fi Film: Upgrade,https://medium.com/fan-fare/my-favourite-underrated-sci-fi-film-upgrade-673635bc11c7?source=tag_recommended_feed---------2-85----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,This underseen gem comments on the insidious nature of scientific innovation and how our overreliance on technology merely serves to rob us…,Not Climate Action
3,‘Civil War’ Has More To Say About Journalism Than US Politics,https://medium.com/the-wide-shot/civil-war-has-more-to-say-about-journalism-than-us-politics-e8b390ba2c3e?source=tag_recommended_feed---------3-107----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,Director Alex Garland’s vision of a Second American Civil War is the backdrop for a story that revolves around war photography.,Not Climate Action
4,The Haunting Journey of William Peter Blatty,https://medium.com/writingandtyping/the-haunting-journey-of-william-peter-blatty-20cb1a3a8ff9?source=tag_recommended_feed---------4-85----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,"When William Peter Blatty was a high school student at Brooklyn Prep, one of his Jesuit teachers told the class about a 14-year-old boy in…",Not Climate Action
5,True Lies — astonishing action tarnished by dated politics,https://medium.com/framerated/true-lies-astonishing-action-tarnished-by-dated-politics-85b2064ebc07?source=tag_recommended_feed---------5-107----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,A secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman…,Not Climate Action
6,23 Best Sites to Download Hindi-Dubbed Movies,https://medium.com/@gauravthegreat165/23-best-sites-to-download-hindi-dubbed-movies-ae62b154aa10?source=tag_recommended_feed---------6-85----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,"Indians love movies. In India, movies are released in different languages. Every movie lover can’t watch and understand every regional…",Not Climate Action
7,Welcome Aboard Con AI,https://medium.com/humanai/welcome-aboard-con-ai-2b6bb464f9f4?source=tag_recommended_feed---------7-84----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,Please mind the human/AI gap and don’t touch the bunny,Not Climate Action
8,I Finally Watched ‘The Omen’ And It Explains My Childhood,https://medium.com/@johndevore/i-finally-watched-the-omen-and-it-explains-my-childhood-aa2d32aed6c9?source=tag_recommended_feed---------8-107----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,"There’s a new prequel in theaters, 48-years-later, so I had to prepare",Not Climate Action
9,The Conversation — the most underrated film of the 1970s,https://medium.com/framerated/the-conversation-the-most-underrated-film-of-the-1970s-827fe0dd5713?source=tag_recommended_feed---------9-85----------movies----------fa313eea_b0d5_4dd5_b68f_8d0626a7c0a3-------,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",Not Climate Action
10,The Genesis of Cable Skinny Bundles,https://medium.com/@jaredschain/the-genesis-of-cable-mini-bundles-8e2f2a796016?source=tag_recommended_feed---------0-84----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,"WBD/Fox/Disney sports streaming service — A discussion around the history, incentives to create it, and whether fans should care",Not Climate Action
